sex|3|5|10|25|50|75|90|95|97
male|0|2.355451|2.526904|2.773802|3.150611|3.530203|3.879077|4.172493|4.340293|4.446488
male|0.5|2.799549|2.964656|3.20951|3.597396|4.003106|4.387423|4.718161|4.91013|5.032625
male|1.5|3.614688|3.774849|4.020561|4.428873|4.879525|5.327328|5.728153|5.967102|6.121929
male|2.5|4.342341|4.503255|4.754479|5.183378|5.672889|6.175598|6.638979|6.921119|7.10625
male|3.5|4.992898|5.157412|5.416803|5.866806|6.391392|6.942217|7.460702|7.781401|7.993878
male|4.5|5.575169|5.744752|6.013716|6.484969|7.041836|7.635323|8.202193|8.556813|8.793444
male|5.5|6.096775|6.272175|6.551379|7.043627|7.630425|8.262033|8.871384|9.255615|9.513307
male|6.5|6.56443|6.745993|7.035656|7.548346|8.162951|8.828786|9.475466|9.885436|10.16135
male|7.5|6.984123|7.171952|7.472021|8.004399|8.644832|9.34149|10.02101|10.45331|10.74492
male|8.5|7.361236|7.555287|7.865533|8.416719|9.08112|9.805593|10.51406|10.96574|11.27084
male|9.5|7.700624|7.900755|8.220839|8.789882|9.4765|10.22612|10.96017|11.42868|11.74538
male|10.5|8.006677|8.212684|8.542195|9.12811|9.835308|10.60772|11.36445|11.84763|12.17436
male|11.5|8.283365|8.495|8.833486|9.435279|10.16154|10.95466|11.7316|12.22766|12.56308
male|12.5|8.534275|8.751264|9.098246|9.714942|10.45885|11.27087|12.06595|12.5734|12.91645
male|13.5|8.762649|8.984701|9.339688|9.970338|10.73063|11.55996|12.37145|12.88911|13.23893
male|14.5|8.971407|9.198222|9.560722|10.20442|10.97992|11.82524|12.65175|13.17867|13.53462
male|15.5|9.16318|9.394454|9.763982|10.41986|11.20956|12.06973|12.91015|13.44564|13.80724
male|16.5|9.340328|9.575757|9.95184|10.6191|11.42207|12.29617|13.14969|13.69325|14.06019
male|17.5|9.504964|9.744251|10.12643|10.80433|11.61978|12.50708|13.37311|13.92444|14.29655
male|18.5|9.658975|9.90183|10.28968|10.97753|11.80478|12.70473|13.5829|14.14187|14.51909
male|19.5|9.804039|10.05019|10.4433|11.14047|11.97897|12.89117|13.78133|14.34795|14.73034
male|20.5|9.941645|10.19082|10.58881|11.29477|12.14404|13.06825|13.97042|14.54484|14.93256
