sex    | age | n     | percent | mean_sbp_mmHg | sd_sbp_mmHg | mean_dbp_mmHg | sd_dbp_mmHg | mean_height_cm | sd_height_cm | mean_weight_kg | sd_weight_kg | mean_bmi | sd_bmi
male   | 3   | 4664  | 4.6     | 93.2          | 9.2         | 55.1          | 8.1         | 99.4           | 4.5          | 16.2           | 2.4          | 16.3     | 1.5
male   | 4   | 12354 | 12.3    | 94.5          | 9.2         | 56.3          | 8.0         | 104.8          | 4.5          | 17.7           | 2.6          | 16.1     | 1.7
male   | 5   | 7761  | 7.7     | 95.6          | 9.4         | 56.7          | 8.1         | 111.4          | 4.8          | 20.1           | 3.4          | 16.2     | 2.1
male   | 6   | 5321  | 5.3     | 97.6          | 9.4         | 57.8          | 8.1         | 118.2          | 5.1          | 23.2           | 4.5          | 16.5     | 2.4
male   | 7   | 5082  | 5.0     | 98.8          | 9.5         | 58.7          | 7.8         | 124.9          | 5.5          | 26.8           | 6.0          | 17.1     | 3.0
male   | 8   | 5818  | 5.8     | 100.7         | 9.7         | 59.8          | 8.1         | 130.9          | 5.9          | 31.1           | 7.5          | 18.0     | 3.4
male   | 9   | 5583  | 5.5     | 101.9         | 9.8         | 60.8          | 7.9         | 136.4          | 6.1          | 35.2           | 8.7          | 18.8     | 3.8
male   | 10  | 5951  | 5.9     | 103.3         | 10.0        | 61.4          | 8.1         | 142.0          | 6.7          | 39.8           | 10.6         | 19.6     | 4.1
male   | 11  | 7519  | 7.5     | 104.9         | 10.4        | 62.3          | 8.1         | 147.7          | 7.2          | 44.4           | 12.0         | 20.2     | 4.4
male   | 12  | 6942  | 6.9     | 107.4         | 10.9        | 62.9          | 8.2         | 154.4          | 7.9          | 50.5           | 13.9         | 21.0     | 4.7
male   | 13  | 6467  | 6.4     | 110.8         | 11.0        | 63.8          | 8.3         | 162.1          | 8.3          | 57.4           | 15.2         | 21.7     | 4.8
male   | 14  | 8236  | 8.2     | 113.1         | 11.2        | 64.7          | 8.4         | 168.3          | 7.8          | 63.9           | 16.2         | 22.4     | 5.0
male   | 15  | 7281  | 7.2     | 114.8         | 11.3        | 65.5          | 8.3         | 172.3          | 7.6          | 69.2           | 17.4         | 23.2     | 5.2
male   | 16  | 6191  | 6.1     | 116.4         | 11.3        | 66.2          | 8.6         | 174.4          | 7.4          | 72.9           | 17.6         | 23.9     | 5.3
male   | 17  | 5636  | 5.6     | 117.2         | 11.5        | 67.0          | 8.6         | 175.4          | 7.5          | 75.2           | 17.9         | 24.4     | 5.4
female | 3   | 4382  | 4.4     | 92.7          | 9.4         | 55.5          | 8.5         | 98.5           | 4.3          | 15.6           | 2.3          | 16.1     | 1.7
female | 4   | 11814 | 12.0    | 93.9          | 9.2         | 56.7          | 8.0         | 103.8          | 4.5          | 17.1           | 2.6          | 15.9     | 1.7
female | 5   | 7494  | 7.6     | 94.9          | 9.4         | 57.0          | 8.2         | 110.6          | 4.8          | 19.7           | 3.4          | 16.0     | 2.0
female | 6   | 5115  | 5.2     | 96.9          | 9.5         | 57.7          | 8.0         | 117.6          | 5.2          | 22.8           | 4.5          | 16.4     | 2.4
female | 7   | 4844  | 4.9     | 97.9          | 9.6         | 58.9          | 7.9         | 123.9          | 5.5          | 26.1           | 5.7          | 16.9     | 2.8
female | 8   | 5138  | 5.2     | 99.9          | 9.7         | 59.7          | 8.1         | 130.0          | 5.9          | 30.2           | 7.4          | 17.7     | 3.4
female | 9   | 5339  | 5.4     | 101.2         | 10.0        | 60.4          | 8.1         | 136.1          | 6.5          | 34.7           | 9.0          | 18.6     | 3.8
female | 10  | 5537  | 5.6     | 103.2         | 10.2        | 61.5          | 8.0         | 142.7          | 7.1          | 39.7           | 10.8         | 19.3     | 4.1
female | 11  | 7670  | 7.8     | 104.3         | 10.3        | 62.2          | 8.0         | 149.2          | 7.3          | 45.0           | 12.3         | 20.0     | 4.4
female | 12  | 7116  | 7.2     | 106.5         | 10.5        | 63.0          | 8.2         | 155.0          | 7.0          | 51.4           | 13.5         | 21.2     | 4.8
female | 13  | 6477  | 6.6     | 107.7         | 10.8        | 63.7          | 8.2         | 158.8          | 6.8          | 55.9           | 13.8         | 22.1     | 4.8
female | 14  | 8240  | 8.4     | 108.5         | 10.7        | 64.2          | 8.1         | 160.8          | 6.7          | 58.8           | 14.0         | 22.7     | 4.9
female | 15  | 7325  | 7.4     | 108.9         | 10.6        | 64.9          | 8.2         | 161.7          | 6.8          | 61.2           | 14.3         | 23.4     | 5.0
female | 16  | 6244  | 6.3     | 110.0         | 10.7        | 65.4          | 8.1         | 162.0          | 6.8          | 62.3           | 15.1         | 23.7     | 5.3
female | 17  | 5972  | 6.1     | 110.3         | 10.9        | 66.0          | 8.4         | 162.4          | 6.8          | 63.6           | 15.6         | 24.1     | 5.4
